Infohash,Track_Count,Group_Infohash_Count,Expected_Job_Count,Actual_Job_Count,State_Machine_Status
0382E84E74F074DA17056EC724C0A6C60A4F5E98,3,1,2,2,Correct
0386BEDEA3420446BAF0991FBCFB423668845DA7,3,1,2,2,Correct
03870B563BC71AFC2152C568BFD673CB5D629726,3,1,2,2,Correct
03A568C8A0FBB54B70B195283ECD44F4918E4846,3,1,2,2,Correct
03A6A4C03A86059F3ABB6F5BA8E58F2A6BFDB166,3,1,2,2,Correct
03B767FC3454FAD6B8F95B0AC69145C2E6D074D4,3,1,2,2,Correct
03C16FCF975FF5C1712813D44E3AA7BE7F3C20C4,3,1,2,2,Correct
03CACD2E81088BAB48026EA0B38B3FD5020CF65D,3,1,2,2,Correct
03D555F16DE48AFF56B13CC7CFB11C727EB56D5B,3,1,2,2,Correct
03E68C3B49D346FD0860DEB9DFE419B7F1869E8C,3,1,2,2,Correct
03EB2E40FACCDA04432EC2E64F137B068457D10C,3,1,2,2,Correct
03F2F7E858DDE76D25516EF60A775839F55C2E21,3,1,2,2,Correct
03F63485C99E2D5D62CCD5B7081794996669D110,3,1,2,2,Correct
040B88EB936EA2B958464C31615C0D13E0FD9A39,3,1,2,2,Correct
040F5170A53E07220A99F0DC88D29558CDD072F0,3,1,2,2,Correct
04148DF7C0EF0BE7045A429069BAFD6BEF10B574,3,1,2,2,Correct
0429FDBEBEA803A811E42250D3B6DE820D7B047F,3,1,2,2,Correct
0431D5A2056DF70004AE8B331C1FA3A44B382488,3,1,2,2,Correct
043A738EB9E66D5EBAECA02EEC55799EF80CB226,3,1,2,2,Correct
044795B395EFAD04FF1E3A07BD4BB7E6EEE74344,3,1,2,2,Correct
047F47871AA9FA35B6891E3ACC97724FF10DDD5F,1,0,1,1,Correct
048A9992D2C1D28E42FFA55AEEBD9E077841DE1D,3,1,2,2,Correct
0490DBFCB202986F87619CB75D9D1947AECDD5CB,3,1,2,2,Correct
049439108A5780458645DB1FC6E0460B898BE4C2,3,1,2,2,Correct
0494A80532B5B05DDE567C61220D93406B7E22E7,1,0,1,1,Correct
049DD52577200A3727094DAFA31189D1870C62D0,3,1,2,2,Correct
04A305B6F12208A70FABD63B84C0F3F48CEDED90,3,1,2,2,Correct
04A3DB0EA1B90B99B6AC249CD9F864A7D3CC45B9,2,1,1,2,Incorrect
04A4FABC0F2E22985BCBFC9AE3C35F4BDCAAB63A,3,1,2,2,Correct
04A67D56989B2878870577EFF395214027F0A019,3,1,2,2,Correct
04ABB8A67D9BC6789284936176460619CB95F384,3,1,2,2,Correct
04C47A447FFC1733407AB0BBC6689C9D1708D6A6,3,1,2,2,Correct
04CB67EB060370313FA2EA8120F6D6D80512ED55,3,1,2,2,Correct
04CFD65E611406FBAB7587A7A794B2FB6A433E61,3,1,2,2,Correct
04D2C5F66EC4CE516858E473616B3A7C717BE57C,3,1,2,2,Correct
04D41712773F657068CD5D1DE466CF95A59C30B0,3,1,2,2,Correct
04D5DDDCA4E75561A3B946D86A8B456D0A1F408F,3,1,2,2,Correct
05072611B9B6EC797D85A7C97DED94CE73E947A5,3,1,2,2,Correct
05114DADC7180DED434A6E790E050CD4D5562805,3,1,2,2,Correct
051AF79601CA0239E1F1D0E559F6DE70B27268E1,3,1,2,2,Correct
0523495C9D34401C56F053C7D12C6B86989F3C60,3,1,2,2,Correct
05256F36B453A0A47F8D44285933D637459DFD95,3,1,2,2,Correct
052F488941A28BABB8FBC3D20B9C46DB74D77DE0,3,1,2,2,Correct
053B2A63830B87FE852285EE0AD25C703B44224D,3,1,2,2,Correct
0546DC2455858338F51E5F14D8D45897F1E3C1FE,3,1,2,2,Correct
054A54F7BD34AD307AB283A909693359D4D8FA53,3,1,2,2,Correct
054D3C394972B01EC58A01BFEF6DEF36D9A52E49,1,0,1,1,Correct
05505BAAA9B77A1C4C2FBBE99395B45B2E820083,3,1,2,2,Correct
055118C3B9E79C549C039304F4003A5E6B017354,3,1,2,2,Correct
0551DC3E757E63976C317A996F20635E2165E3EB,1,0,1,1,Correct
05558D4B1779EA905221D0D87F1142DBC56F8C84,3,1,2,2,Correct
05583C4DEB1021333A597EDC28FCF54B33A5EF9E,3,1,2,2,Correct
055D6217DB8B6F71F0620E5BDE13DB562A7A5B42,3,1,2,2,Correct
055D8D3C0FA61946A483EF13E6D3B4799F579DE4,3,1,2,2,Correct
055EA7E5ABE503A8C2165976C4678118B7455D21,1,0,1,1,Correct
055F38B1ABA2B801A3BAE1AEB5A3CF288B169415,3,1,2,2,Correct
0564C9B1A08D83CB074012DB577515FA3F084212,3,1,2,2,Correct
05672AF347D3819C99C2FED8BF618690C58A74C6,1,0,1,1,Correct
056B711CEB364EF50E93806EC49A514BC0E7224B,3,1,2,2,Correct
057090BDE3047F0B42600DC6FDFD2583C562BDB9,3,1,2,2,Correct
0573BD0984B5FA581FFB0BDFA739ADD165D9BF70,3,1,2,2,Correct
05799BA08A7A2929FF249395C3C28412,1,0,1,1,Correct
057B43FF7F24A960817B5A5C87FD06EE80BBD2C5,3,1,2,2,Correct
057B5DF14D0554E04B0050C86DD899A00AF4E18A,1,0,1,1,Correct
057D1BD27CD4FBCCC0549512C84EB468351CB9DD,3,1,2,2,Correct
0581C63B70170690A49ABFD55BD3A64C8AEA1267,3,1,2,2,Correct
059C349E1EDEA592C4A2A5305C745026D05B9559,3,1,2,2,Correct
05A1D6429B8F71F04309CA9B9ACB93072B736B73,3,1,2,2,Correct
05B0495B846974C08B0E63FC57996FD5B51AC641,3,1,2,2,Correct
05B30FC2A021E7C9D5F468B1DC04E73522A8285B,3,1,2,2,Correct
05C1C21A5428061058BB2421EEC0A1519760011D,3,1,2,2,Correct
05D51FAA7DFE2A2BCD849E4687AD296B09638D13,1,0,1,1,Correct
05D9EC74ECCDBCC8B6FAE21B1C8546EBA96434B1,3,1,2,2,Correct
05E31531565089F9756017B3B5BCFDD6EFFD99BA,3,1,2,2,Correct
05F638D01D9DD046AC726160CD7C4C9A9675CFF3,3,1,2,2,Correct
0604D1225D305CC8BFF267E176439215602AE178,3,1,2,2,Correct
060595B4AE1867A18DA30414D2162A31,1,0,1,1,Correct
0609C24216A6A860981006645A5F71D0CB43EB20,3,1,2,2,Correct
060ACB2517A2CA310C6C7BEE4374DB4FAB7AE216,3,1,2,2,Correct
0612D614350664E22102123E8ADACAD1CFC518DC,1,0,1,1,Correct
061563DC1041E627E2FC1C68550E606AA941A4C9,3,1,2,2,Correct
06203016E7096900A1502DFF86E31AE6A6B8ACD7,3,1,2,2,Correct
062C9B9391D9ED02C378E2E85D3D332DB482170D,3,1,2,2,Correct
